"","mpg","cylinders","displacement","horsepower","weight","acceleration","model.year","origin","car.name"
"1",18,8,307,"130.0",3504,12,70,1,"chevrolet chevelle malibu"
"2",15,8,350,"165.0",3693,11.5,70,1,"buick skylark 320"
"3",18,8,318,"150.0",3436,11,70,1,"plymouth satellite"
"4",16,8,304,"150.0",3433,12,70,1,"amc rebel sst"
"5",17,8,302,"140.0",3449,10.5,70,1,"ford torino"
"6",15,8,429,"198.0",4341,10,70,1,"ford galaxie 500"
"7",14,8,454,"220.0",4354,9,70,1,"chevrolet impala"
"8",14,8,440,"215.0",4312,8.5,70,1,"plymouth fury iii"
"9",14,8,455,"225.0",4425,10,70,1,"pontiac catalina"
"10",15,8,390,"190.0",3850,8.5,70,1,"amc ambassador dpl"
"11",15,8,383,"170.0",3563,10,70,1,"dodge challenger se"
"12",14,8,340,"160.0",3609,8,70,1,"plymouth 'cuda 340"
"13",15,8,400,"150.0",3761,9.5,70,1,"chevrolet monte carlo"
"14",14,8,455,"225.0",3086,10,70,1,"buick estate wagon (sw)"
"15",24,4,113,"95.00",2372,15,70,3,"toyota corona mark ii"
"16",22,6,198,"95.00",2833,15.5,70,1,"plymouth duster"
"17",18,6,199,"97.00",2774,15.5,70,1,"amc hornet"
"18",21,6,200,"85.00",2587,16,70,1,"ford maverick"
"19",27,4,97,"88.00",2130,14.5,70,3,"datsun pl510"
"20",26,4,97,"46.00",1835,20.5,70,2,"volkswagen 1131 deluxe sedan"
"21",25,4,110,"87.00",2672,17.5,70,2,"peugeot 504"
"22",24,4,107,"90.00",2430,14.5,70,2,"audi 100 ls"
"23",25,4,104,"95.00",2375,17.5,70,2,"saab 99e"
"24",26,4,121,"113.0",2234,12.5,70,2,"bmw 2002"
"25",21,6,199,"90.00",2648,15,70,1,"amc gremlin"
"26",10,8,360,"215.0",4615,14,70,1,"ford f250"
"27",10,8,307,"200.0",4376,15,70,1,"chevy c20"
"28",11,8,318,"210.0",4382,13.5,70,1,"dodge d200"
"29",9,8,304,"193.0",4732,18.5,70,1,"hi 1200d"
"30",27,4,97,"88.00",2130,14.5,71,3,"datsun pl510"
"31",28,4,140,"90.00",2264,15.5,71,1,"chevrolet vega 2300"
"32",25,4,113,"95.00",2228,14,71,3,"toyota corona"
"34",19,6,232,"100.0",2634,13,71,1,"amc gremlin"
"35",16,6,225,"105.0",3439,15.5,71,1,"plymouth satellite custom"
"36",17,6,250,"100.0",3329,15.5,71,1,"chevrolet chevelle malibu"
"37",19,6,250,"88.00",3302,15.5,71,1,"ford torino 500"
"38",18,6,232,"100.0",3288,15.5,71,1,"amc matador"
"39",14,8,350,"165.0",4209,12,71,1,"chevrolet impala"
"40",14,8,400,"175.0",4464,11.5,71,1,"pontiac catalina brougham"
"41",14,8,351,"153.0",4154,13.5,71,1,"ford galaxie 500"
"42",14,8,318,"150.0",4096,13,71,1,"plymouth fury iii"
"43",12,8,383,"180.0",4955,11.5,71,1,"dodge monaco (sw)"
"44",13,8,400,"170.0",4746,12,71,1,"ford country squire (sw)"
"45",13,8,400,"175.0",5140,12,71,1,"pontiac safari (sw)"
"46",18,6,258,"110.0",2962,13.5,71,1,"amc hornet sportabout (sw)"
"47",22,4,140,"72.00",2408,19,71,1,"chevrolet vega (sw)"
"48",19,6,250,"100.0",3282,15,71,1,"pontiac firebird"
"49",18,6,250,"88.00",3139,14.5,71,1,"ford mustang"
"50",23,4,122,"86.00",2220,14,71,1,"mercury capri 2000"
"51",28,4,116,"90.00",2123,14,71,2,"opel 1900"
"52",30,4,79,"70.00",2074,19.5,71,2,"peugeot 304"
"53",30,4,88,"76.00",2065,14.5,71,2,"fiat 124b"
"54",31,4,71,"65.00",1773,19,71,3,"toyota corolla 1200"
"55",35,4,72,"69.00",1613,18,71,3,"datsun 1200"
"56",27,4,97,"60.00",1834,19,71,2,"volkswagen model 111"
"57",26,4,91,"70.00",1955,20.5,71,1,"plymouth cricket"
"58",24,4,113,"95.00",2278,15.5,72,3,"toyota corona hardtop"
"59",25,4,97.5,"80.00",2126,17,72,1,"dodge colt hardtop"
"60",23,4,97,"54.00",2254,23.5,72,2,"volkswagen type 3"
"61",20,4,140,"90.00",2408,19.5,72,1,"chevrolet vega"
"62",21,4,122,"86.00",2226,16.5,72,1,"ford pinto runabout"
"63",13,8,350,"165.0",4274,12,72,1,"chevrolet impala"
"64",14,8,400,"175.0",4385,12,72,1,"pontiac catalina"
"65",15,8,318,"150.0",4135,13.5,72,1,"plymouth fury iii"
"66",14,8,351,"153.0",4129,13,72,1,"ford galaxie 500"
"67",17,8,304,"150.0",3672,11.5,72,1,"amc ambassador sst"
"68",11,8,429,"208.0",4633,11,72,1,"mercury marquis"
"69",13,8,350,"155.0",4502,13.5,72,1,"buick lesabre custom"
"70",12,8,350,"160.0",4456,13.5,72,1,"oldsmobile delta 88 royale"
"71",13,8,400,"190.0",4422,12.5,72,1,"chrysler newport royal"
"72",19,3,70,"97.00",2330,13.5,72,3,"mazda rx2 coupe"
"73",15,8,304,"150.0",3892,12.5,72,1,"amc matador (sw)"
"74",13,8,307,"130.0",4098,14,72,1,"chevrolet chevelle concours (sw)"
"75",13,8,302,"140.0",4294,16,72,1,"ford gran torino (sw)"
"76",14,8,318,"150.0",4077,14,72,1,"plymouth satellite custom (sw)"
"77",18,4,121,"112.0",2933,14.5,72,2,"volvo 145e (sw)"
"78",22,4,121,"76.00",2511,18,72,2,"volkswagen 411 (sw)"
"79",21,4,120,"87.00",2979,19.5,72,2,"peugeot 504 (sw)"
"80",26,4,96,"69.00",2189,18,72,2,"renault 12 (sw)"
"81",22,4,122,"86.00",2395,16,72,1,"ford pinto (sw)"
"82",28,4,97,"92.00",2288,17,72,3,"datsun 510 (sw)"
"83",23,4,120,"97.00",2506,14.5,72,3,"toyouta corona mark ii (sw)"
"84",28,4,98,"80.00",2164,15,72,1,"dodge colt (sw)"
"85",27,4,97,"88.00",2100,16.5,72,3,"toyota corolla 1600 (sw)"
"86",13,8,350,"175.0",4100,13,73,1,"buick century 350"
"87",14,8,304,"150.0",3672,11.5,73,1,"amc matador"
"88",13,8,350,"145.0",3988,13,73,1,"chevrolet malibu"
"89",14,8,302,"137.0",4042,14.5,73,1,"ford gran torino"
"90",15,8,318,"150.0",3777,12.5,73,1,"dodge coronet custom"
"91",12,8,429,"198.0",4952,11.5,73,1,"mercury marquis brougham"
"92",13,8,400,"150.0",4464,12,73,1,"chevrolet caprice classic"
"93",13,8,351,"158.0",4363,13,73,1,"ford ltd"
"94",14,8,318,"150.0",4237,14.5,73,1,"plymouth fury gran sedan"
"95",13,8,440,"215.0",4735,11,73,1,"chrysler new yorker brougham"
"96",12,8,455,"225.0",4951,11,73,1,"buick electra 225 custom"
"97",13,8,360,"175.0",3821,11,73,1,"amc ambassador brougham"
"98",18,6,225,"105.0",3121,16.5,73,1,"plymouth valiant"
"99",16,6,250,"100.0",3278,18,73,1,"chevrolet nova custom"
"100",18,6,232,"100.0",2945,16,73,1,"amc hornet"
"101",18,6,250,"88.00",3021,16.5,73,1,"ford maverick"
"102",23,6,198,"95.00",2904,16,73,1,"plymouth duster"
"103",26,4,97,"46.00",1950,21,73,2,"volkswagen super beetle"
"104",11,8,400,"150.0",4997,14,73,1,"chevrolet impala"
"105",12,8,400,"167.0",4906,12.5,73,1,"ford country"
"106",13,8,360,"170.0",4654,13,73,1,"plymouth custom suburb"
"107",12,8,350,"180.0",4499,12.5,73,1,"oldsmobile vista cruiser"
"108",18,6,232,"100.0",2789,15,73,1,"amc gremlin"
"109",20,4,97,"88.00",2279,19,73,3,"toyota carina"
"110",21,4,140,"72.00",2401,19.5,73,1,"chevrolet vega"
"111",22,4,108,"94.00",2379,16.5,73,3,"datsun 610"
"112",18,3,70,"90.00",2124,13.5,73,3,"maxda rx3"
"113",19,4,122,"85.00",2310,18.5,73,1,"ford pinto"
"114",21,6,155,"107.0",2472,14,73,1,"mercury capri v6"
"115",26,4,98,"90.00",2265,15.5,73,2,"fiat 124 sport coupe"
"116",15,8,350,"145.0",4082,13,73,1,"chevrolet monte carlo s"
"117",16,8,400,"230.0",4278,9.5,73,1,"pontiac grand prix"
"118",29,4,68,"49.00",1867,19.5,73,2,"fiat 128"
"119",24,4,116,"75.00",2158,15.5,73,2,"opel manta"
"120",20,4,114,"91.00",2582,14,73,2,"audi 100ls"
"121",19,4,121,"112.0",2868,15.5,73,2,"volvo 144ea"
"122",15,8,318,"150.0",3399,11,73,1,"dodge dart custom"
"123",24,4,121,"110.0",2660,14,73,2,"saab 99le"
"124",20,6,156,"122.0",2807,13.5,73,3,"toyota mark ii"
"125",11,8,350,"180.0",3664,11,73,1,"oldsmobile omega"
"126",20,6,198,"95.00",3102,16.5,74,1,"plymouth duster"
"128",23,4,115,"95.00",2694,15,75,2,"audi 100ls"
"129",23,4,120,"88.00",2957,17,75,2,"peugeot 504"
"130",22,4,121,"98.00",2945,14.5,75,2,"volvo 244dl"
"131",25,4,121,"115.0",2671,13.5,75,2,"saab 99le"
"132",33,4,91,"53.00",1795,17.5,75,3,"honda civic cvcc"
"133",28,4,107,"86.00",2464,15.5,76,2,"fiat 131"
"134",25,4,116,"81.00",2220,16.9,76,2,"opel 1900"
"135",25,4,140,"92.00",2572,14.9,76,1,"capri ii"
"136",26,4,98,"79.00",2255,17.7,76,1,"dodge colt"
"137",27,4,101,"83.00",2202,15.3,76,2,"renault 12tl"
"138",17.5,8,305,"140.0",4215,13,76,1,"chevrolet chevelle malibu classic"
"139",16,8,318,"150.0",4190,13,76,1,"dodge coronet brougham"
"140",15.5,8,304,"120.0",3962,13.9,76,1,"amc matador"
"141",14.5,8,351,"152.0",4215,12.8,76,1,"ford gran torino"
"142",22,6,225,"100.0",3233,15.4,76,1,"plymouth valiant"
"143",22,6,250,"105.0",3353,14.5,76,1,"chevrolet nova"
"144",24,6,200,"81.00",3012,17.6,76,1,"ford maverick"
"145",22.5,6,232,"90.00",3085,17.6,76,1,"amc hornet"
"146",29,4,85,"52.00",2035,22.2,76,1,"chevrolet chevette"
"147",24.5,4,98,"60.00",2164,22.1,76,1,"chevrolet woody"
"148",29,4,90,"70.00",1937,14.2,76,2,"vw rabbit"
"149",33,4,91,"53.00",1795,17.4,76,3,"honda civic"
"150",20,6,225,"100.0",3651,17.7,76,1,"dodge aspen se"
"151",18,6,250,"78.00",3574,21,76,1,"ford granada ghia"
"152",18.5,6,250,"110.0",3645,16.2,76,1,"pontiac ventura sj"
"153",17.5,6,258,"95.00",3193,17.8,76,1,"amc pacer d/l"
"154",29.5,4,97,"71.00",1825,12.2,76,2,"volkswagen rabbit"
"155",32,4,85,"70.00",1990,17,76,3,"datsun b-210"
"156",28,4,97,"75.00",2155,16.4,76,3,"toyota corolla"
"157",26.5,4,140,"72.00",2565,13.6,76,1,"ford pinto"
"158",20,4,130,"102.0",3150,15.7,76,2,"volvo 245"
"159",13,8,318,"150.0",3940,13.2,76,1,"plymouth volare premier v8"
"160",19,4,120,"88.00",3270,21.9,76,2,"peugeot 504"
"161",19,6,156,"108.0",2930,15.5,76,3,"toyota mark ii"
"162",16.5,6,168,"120.0",3820,16.7,76,2,"mercedes-benz 280s"
"163",16.5,8,350,"180.0",4380,12.1,76,1,"cadillac seville"
"164",13,8,350,"145.0",4055,12,76,1,"chevy c10"
"165",13,8,302,"130.0",3870,15,76,1,"ford f108"
"166",13,8,318,"150.0",3755,14,76,1,"dodge d100"
"167",31.5,4,98,"68.00",2045,18.5,77,3,"honda accord cvcc"
"168",30,4,111,"80.00",2155,14.8,77,1,"buick opel isuzu deluxe"
"169",36,4,79,"58.00",1825,18.6,77,2,"renault 5 gtl"
"170",25.5,4,122,"96.00",2300,15.5,77,1,"plymouth arrow gs"
"171",33.5,4,85,"70.00",1945,16.8,77,3,"datsun f-10 hatchback"
"172",17.5,8,305,"145.0",3880,12.5,77,1,"chevrolet caprice classic"
"173",17,8,260,"110.0",4060,19,77,1,"oldsmobile cutlass supreme"
"174",15.5,8,318,"145.0",4140,13.7,77,1,"dodge monaco brougham"
"175",15,8,302,"130.0",4295,14.9,77,1,"mercury cougar brougham"
"176",17.5,6,250,"110.0",3520,16.4,77,1,"chevrolet concours"
"177",20.5,6,231,"105.0",3425,16.9,77,1,"buick skylark"
"178",19,6,225,"100.0",3630,17.7,77,1,"plymouth volare custom"
"179",18.5,6,250,"98.00",3525,19,77,1,"ford granada"
"180",16,8,400,"180.0",4220,11.1,77,1,"pontiac grand prix lj"
"181",15.5,8,350,"170.0",4165,11.4,77,1,"chevrolet monte carlo landau"
"182",15.5,8,400,"190.0",4325,12.2,77,1,"chrysler cordoba"
"183",16,8,351,"149.0",4335,14.5,77,1,"ford thunderbird"
"184",29,4,97,"78.00",1940,14.5,77,2,"volkswagen rabbit custom"
"185",24.5,4,151,"88.00",2740,16,77,1,"pontiac sunbird coupe"
"186",26,4,97,"75.00",2265,18.2,77,3,"toyota corolla liftback"
"187",25.5,4,140,"89.00",2755,15.8,77,1,"ford mustang ii 2+2"
"188",30.5,4,98,"63.00",2051,17,77,1,"chevrolet chevette"
"189",33.5,4,98,"83.00",2075,15.9,77,1,"dodge colt m/m"
"190",30,4,97,"67.00",1985,16.4,77,3,"subaru dl"
"191",30.5,4,97,"78.00",2190,14.1,77,2,"volkswagen dasher"
"192",22,6,146,"97.00",2815,14.5,77,3,"datsun 810"
"193",21.5,4,121,"110.0",2600,12.8,77,2,"bmw 320i"
"194",21.5,3,80,"110.0",2720,13.5,77,3,"mazda rx-4"
"195",43.1,4,90,"48.00",1985,21.5,78,2,"volkswagen rabbit custom diesel"
"196",36.1,4,98,"66.00",1800,14.4,78,1,"ford fiesta"
"197",32.8,4,78,"52.00",1985,19.4,78,3,"mazda glc deluxe"
"198",39.4,4,85,"70.00",2070,18.6,78,3,"datsun b210 gx"
"199",36.1,4,91,"60.00",1800,16.4,78,3,"honda civic cvcc"
"200",19.9,8,260,"110.0",3365,15.5,78,1,"oldsmobile cutlass salon brougham"
"201",19.4,8,318,"140.0",3735,13.2,78,1,"dodge diplomat"
"202",20.2,8,302,"139.0",3570,12.8,78,1,"mercury monarch ghia"
"203",19.2,6,231,"105.0",3535,19.2,78,1,"pontiac phoenix lj"
"204",20.5,6,200,"95.00",3155,18.2,78,1,"chevrolet malibu"
"205",20.2,6,200,"85.00",2965,15.8,78,1,"ford fairmont (auto)"
"206",25.1,4,140,"88.00",2720,15.4,78,1,"ford fairmont (man)"
"207",20.5,6,225,"100.0",3430,17.2,78,1,"plymouth volare"
"208",19.4,6,232,"90.00",3210,17.2,78,1,"amc concord"
"209",20.6,6,231,"105.0",3380,15.8,78,1,"buick century special"
"210",20.8,6,200,"85.00",3070,16.7,78,1,"mercury zephyr"
"211",18.6,6,225,"110.0",3620,18.7,78,1,"dodge aspen"
"212",18.1,6,258,"120.0",3410,15.1,78,1,"amc concord d/l"
"213",19.2,8,305,"145.0",3425,13.2,78,1,"chevrolet monte carlo landau"
"214",17.7,6,231,"165.0",3445,13.4,78,1,"buick regal sport coupe (turbo)"
"215",18.1,8,302,"139.0",3205,11.2,78,1,"ford futura"
"216",17.5,8,318,"140.0",4080,13.7,78,1,"dodge magnum xe"
"217",30,4,98,"68.00",2155,16.5,78,1,"chevrolet chevette"
"218",27.5,4,134,"95.00",2560,14.2,78,3,"toyota corona"
"219",27.2,4,119,"97.00",2300,14.7,78,3,"datsun 510"
"220",30.9,4,105,"75.00",2230,14.5,78,1,"dodge omni"
"221",21.1,4,134,"95.00",2515,14.8,78,3,"toyota celica gt liftback"
"222",23.2,4,156,"105.0",2745,16.7,78,1,"plymouth sapporo"
"223",23.8,4,151,"85.00",2855,17.6,78,1,"oldsmobile starfire sx"
"224",23.9,4,119,"97.00",2405,14.9,78,3,"datsun 200-sx"
"225",20.3,5,131,"103.0",2830,15.9,78,2,"audi 5000"
"226",17,6,163,"125.0",3140,13.6,78,2,"volvo 264gl"
"227",21.6,4,121,"115.0",2795,15.7,78,2,"saab 99gle"
"228",16.2,6,163,"133.0",3410,15.8,78,2,"peugeot 604sl"
"229",31.5,4,89,"71.00",1990,14.9,78,2,"volkswagen scirocco"
"230",29.5,4,98,"68.00",2135,16.6,78,3,"honda accord lx"
"231",21.5,6,231,"115.0",3245,15.4,79,1,"pontiac lemans v6"
"232",19.8,6,200,"85.00",2990,18.2,79,1,"mercury zephyr 6"
"233",22.3,4,140,"88.00",2890,17.3,79,1,"ford fairmont 4"
"234",20.2,6,232,"90.00",3265,18.2,79,1,"amc concord dl 6"
"235",20.6,6,225,"110.0",3360,16.6,79,1,"dodge aspen 6"
"236",17,8,305,"130.0",3840,15.4,79,1,"chevrolet caprice classic"
"237",17.6,8,302,"129.0",3725,13.4,79,1,"ford ltd landau"
"238",16.5,8,351,"138.0",3955,13.2,79,1,"mercury grand marquis"
"239",18.2,8,318,"135.0",3830,15.2,79,1,"dodge st. regis"
"240",16.9,8,350,"155.0",4360,14.9,79,1,"buick estate wagon (sw)"
"241",15.5,8,351,"142.0",4054,14.3,79,1,"ford country squire (sw)"
"242",19.2,8,267,"125.0",3605,15,79,1,"chevrolet malibu classic (sw)"
"243",18.5,8,360,"150.0",3940,13,79,1,"chrysler lebaron town @ country (sw)"
"244",31.9,4,89,"71.00",1925,14,79,2,"vw rabbit custom"
"245",34.1,4,86,"65.00",1975,15.2,79,3,"maxda glc deluxe"
"246",35.7,4,98,"80.00",1915,14.4,79,1,"dodge colt hatchback custom"
"247",27.4,4,121,"80.00",2670,15,79,1,"amc spirit dl"
"248",25.4,5,183,"77.00",3530,20.1,79,2,"mercedes benz 300d"
"249",23,8,350,"125.0",3900,17.4,79,1,"cadillac eldorado"
"250",27.2,4,141,"71.00",3190,24.8,79,2,"peugeot 504"
"251",23.9,8,260,"90.00",3420,22.2,79,1,"oldsmobile cutlass salon brougham"
"252",34.2,4,105,"70.00",2200,13.2,79,1,"plymouth horizon"
"253",34.5,4,105,"70.00",2150,14.9,79,1,"plymouth horizon tc3"
"254",31.8,4,85,"65.00",2020,19.2,79,3,"datsun 210"
"255",37.3,4,91,"69.00",2130,14.7,79,2,"fiat strada custom"
"256",28.4,4,151,"90.00",2670,16,79,1,"buick skylark limited"
"257",28.8,6,173,"115.0",2595,11.3,79,1,"chevrolet citation"
"258",26.8,6,173,"115.0",2700,12.9,79,1,"oldsmobile omega brougham"
"259",33.5,4,151,"90.00",2556,13.2,79,1,"pontiac phoenix"
"260",41.5,4,98,"76.00",2144,14.7,80,2,"vw rabbit"
"261",38.1,4,89,"60.00",1968,18.8,80,3,"toyota corolla tercel"
"262",32.1,4,98,"70.00",2120,15.5,80,1,"chevrolet chevette"
"263",37.2,4,86,"65.00",2019,16.4,80,3,"datsun 310"
"264",28,4,151,"90.00",2678,16.5,80,1,"chevrolet citation"
"265",26.4,4,140,"88.00",2870,18.1,80,1,"ford fairmont"
"266",24.3,4,151,"90.00",3003,20.1,80,1,"amc concord"
"267",19.1,6,225,"90.00",3381,18.7,80,1,"dodge aspen"
"268",34.3,4,97,"78.00",2188,15.8,80,2,"audi 4000"
"269",29.8,4,134,"90.00",2711,15.5,80,3,"toyota corona liftback"
"270",31.3,4,120,"75.00",2542,17.5,80,3,"mazda 626"
"271",37,4,119,"92.00",2434,15,80,3,"datsun 510 hatchback"
"272",32.2,4,108,"75.00",2265,15.2,80,3,"toyota corolla"
"273",46.6,4,86,"65.00",2110,17.9,80,3,"mazda glc"
"274",27.9,4,156,"105.0",2800,14.4,80,1,"dodge colt"
"275",40.8,4,85,"65.00",2110,19.2,80,3,"datsun 210"
"276",44.3,4,90,"48.00",2085,21.7,80,2,"vw rabbit c (diesel)"
"277",43.4,4,90,"48.00",2335,23.7,80,2,"vw dasher (diesel)"
"278",36.4,5,121,"67.00",2950,19.9,80,2,"audi 5000s (diesel)"
"279",30,4,146,"67.00",3250,21.8,80,2,"mercedes-benz 240d"
"280",44.6,4,91,"67.00",1850,13.8,80,3,"honda civic 1500 gl"
"282",33.8,4,97,"67.00",2145,18,80,3,"subaru dl"
"283",29.8,4,89,"62.00",1845,15.3,80,2,"vokswagen rabbit"
"284",32.7,6,168,"132.0",2910,11.4,80,3,"datsun 280-zx"
"285",23.7,3,70,"100.0",2420,12.5,80,3,"mazda rx-7 gs"
"286",35,4,122,"88.00",2500,15.1,80,2,"triumph tr7 coupe"
"288",32.4,4,107,"72.00",2290,17,80,3,"honda accord"
"289",27.2,4,135,"84.00",2490,15.7,81,1,"plymouth reliant"
"290",26.6,4,151,"84.00",2635,16.4,81,1,"buick skylark"
"291",25.8,4,156,"92.00",2620,14.4,81,1,"dodge aries wagon (sw)"
"292",23.5,6,173,"110.0",2725,12.6,81,1,"chevrolet citation"
"293",30,4,135,"84.00",2385,12.9,81,1,"plymouth reliant"
"294",39.1,4,79,"58.00",1755,16.9,81,3,"toyota starlet"
"295",39,4,86,"64.00",1875,16.4,81,1,"plymouth champ"
"296",35.1,4,81,"60.00",1760,16.1,81,3,"honda civic 1300"
"297",32.3,4,97,"67.00",2065,17.8,81,3,"subaru"
"298",37,4,85,"65.00",1975,19.4,81,3,"datsun 210 mpg"
"299",37.7,4,89,"62.00",2050,17.3,81,3,"toyota tercel"
"300",34.1,4,91,"68.00",1985,16,81,3,"mazda glc 4"
"301",34.7,4,105,"63.00",2215,14.9,81,1,"plymouth horizon 4"
"302",34.4,4,98,"65.00",2045,16.2,81,1,"ford escort 4w"
"303",29.9,4,98,"65.00",2380,20.7,81,1,"ford escort 2h"
"304",33,4,105,"74.00",2190,14.2,81,2,"volkswagen jetta"
"306",33.7,4,107,"75.00",2210,14.4,81,3,"honda prelude"
"307",32.4,4,108,"75.00",2350,16.8,81,3,"toyota corolla"
"308",32.9,4,119,"100.0",2615,14.8,81,3,"datsun 200sx"
"309",31.6,4,120,"74.00",2635,18.3,81,3,"mazda 626"
"310",28.1,4,141,"80.00",3230,20.4,81,2,"peugeot 505s turbo diesel"
"311",30.7,6,145,"76.00",3160,19.6,81,2,"volvo diesel"
"312",25.4,6,168,"116.0",2900,12.6,81,3,"toyota cressida"
"313",24.2,6,146,"120.0",2930,13.8,81,3,"datsun 810 maxima"
"314",22.4,6,231,"110.0",3415,15.8,81,1,"buick century"
"315",26.6,8,350,"105.0",3725,19,81,1,"oldsmobile cutlass ls"
"316",20.2,6,200,"88.00",3060,17.1,81,1,"ford granada gl"
"317",17.6,6,225,"85.00",3465,16.6,81,1,"chrysler lebaron salon"
"318",28,4,112,"88.00",2605,19.6,82,1,"chevrolet cavalier"
"319",27,4,112,"88.00",2640,18.6,82,1,"chevrolet cavalier wagon"
"320",34,4,112,"88.00",2395,18,82,1,"chevrolet cavalier 2-door"
"321",31,4,112,"85.00",2575,16.2,82,1,"pontiac j2000 se hatchback"
"322",29,4,135,"84.00",2525,16,82,1,"dodge aries se"
"323",27,4,151,"90.00",2735,18,82,1,"pontiac phoenix"
"324",24,4,140,"92.00",2865,16.4,82,1,"ford fairmont futura"
"326",36,4,105,"74.00",1980,15.3,82,2,"volkswagen rabbit l"
"327",37,4,91,"68.00",2025,18.2,82,3,"mazda glc custom l"
"328",31,4,91,"68.00",1970,17.6,82,3,"mazda glc custom"
"329",38,4,105,"63.00",2125,14.7,82,1,"plymouth horizon miser"
"330",36,4,98,"70.00",2125,17.3,82,1,"mercury lynx l"
"331",36,4,120,"88.00",2160,14.5,82,3,"nissan stanza xe"
"332",36,4,107,"75.00",2205,14.5,82,3,"honda accord"
"333",34,4,108,"70.00",2245,16.9,82,3,"toyota corolla"
"334",38,4,91,"67.00",1965,15,82,3,"honda civic"
"335",32,4,91,"67.00",1965,15.7,82,3,"honda civic (auto)"
"336",38,4,91,"67.00",1995,16.2,82,3,"datsun 310 gx"
"337",25,6,181,"110.0",2945,16.4,82,1,"buick century limited"
"338",38,6,262,"85.00",3015,17,82,1,"oldsmobile cutlass ciera (diesel)"
"339",26,4,156,"92.00",2585,14.5,82,1,"chrysler lebaron medallion"
"340",22,6,232,"112.0",2835,14.7,82,1,"ford granada l"
"341",32,4,144,"96.00",2665,13.9,82,3,"toyota celica gt"
"342",36,4,135,"84.00",2370,13,82,1,"dodge charger 2.2"
"343",27,4,151,"90.00",2950,17.3,82,1,"chevrolet camaro"
"344",27,4,140,"86.00",2790,15.6,82,1,"ford mustang gl"
"345",44,4,97,"52.00",2130,24.6,82,2,"vw pickup"
"346",32,4,135,"84.00",2295,11.6,82,1,"dodge rampage"
"347",28,4,120,"79.00",2625,18.6,82,1,"ford ranger"
"348",31,4,119,"82.00",2720,19.4,82,1,"chevy s-10"
